City_EN,Prov_EN,death_rate,T_C_210114,T_D_210114,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm2.5,avg_so2
Yibin,Sichuan,0,12,0,0.7064096079110773,27.578735674972833,49.734907331882454,57.48143565546633,37.571444168178225,7.404007039715804
Guangan,Sichuan,0,30,0,0.6694134325933793,19.234336002083186,53.126868664809464,49.99604391457238,30.808391228200687,5.235711992957645
Dazhou,Sichuan,0,42,0,0.7186911136372764,32.87976455351878,46.2502207786086,58.46850424596771,36.6123127060787,9.252742145822113
Yaan,Sichuan,0,8,0,0.5196078546830167,19.19069073363134,50.08943229877054,36.05303449620538,25.60024618723707,7.326907343261801
Bazhong,Sichuan,0,24,0,0.6507886068943627,22.665058275908596,36.61910282052678,44.00543520295059,27.314537699120088,4.194755491148745
Ziyang,Sichuan,0,4,0,0.6160652093052881,23.268418431346426,60.462879918884404,48.874772412851094,28.850346952558763,7.2635104086415545
Abacangzuqiangzu,Sichuan,NA,0,0,0.45181025199785,10.105728843768219,49.77304705051501,22.62768301553205,15.37650482408459,7.8464098440006556
Ganzicangzu,Sichuan,0,78,0,0.354579837300944,20.150637564516725,47.95212887582868,15.75679691990566,8.614297064280882,9.274362692113353
Liangshanyizu,Sichuan,0,14,0,0.6260760624995961,15.431785186834107,61.78935543878486,33.51455482353756,19.50272049738219,11.113180943798099
Guiyang,Guizhou,0.027777777777777776,36,1,0.6539838995305447,17.633409452537347,51.96600408602336,40.428756688685034,22.537640225394988,9.516212573246076
Liupanshui,Guizhou,0.1,10,1,0.6417011592674412,14.798283203166804,59.94853444713767,33.07461707092962,21.09137232675237,9.58760465135637
Zunyi,Guizhou,0,32,0,0.5762230757167932,18.79188032176498,48.48615798201562,29.2374835506585,17.261816505887637,10.285368567828014
Anshun,Guizhou,0,4,0,0.5648816223446415,11.039996761921488,60.925863885374746,28.070995340775752,22.004371207837043,12.291508666194522
Tongrendiqu,Guizhou,0,10,0,0.601633099951588,15.881178653073329,42.55423047456985,38.94931806606048,24.406217577011553,4.816989033466424
Qianxinanbuyizumiaozu,Guizhou,NA,0,0,0.5594314680803644,13.90322442784849,50.793703676497515,28.55217812517868,18.077509918707534,5.608232879175953
Bijiediqu,Guizhou,0,23,0,0.5711166717914113,15.979236305026822,56.91964392603019,34.4677251092596,24.26233818417762,8.452326216652514
Qiandongnanmiaozudongzu,Guizhou,NA,0,0,0.6181059336952981,18.30041254586471,52.822361347711656,31.749584657189345,23.11593161664359,18.380234887610364
Qiannanbuyizumiaozu,Guizhou,NA,0,0,0.627864843055345,9.046036155884234,50.29580907271321,25.652440217233348,16.56143552414233,6.710673367675507
Kunming,Yunnan,0,53,0,0.6628712979063702,25.25300010079094,52.64261196457158,41.460262341321666,23.462019934698795,9.095364952271126
Qujing,Yunnan,0,13,0,0.7727332905450759,16.163707691084575,59.3962618417008,34.969926736114566,19.869047913065977,11.385031459080198
Yuxi,Yunnan,0.07142857142857142,14,1,0.875848287765205,17.786217611980025,51.56786162602666,35.94337671924666,20.00172217121048,8.34074131366846
Zhaotongdiqu,Yunnan,0,25,0,0.6002208189145531,15.08496965127934,61.31582544746776,38.24472919970135,19.859564665035094,8.662331473861675
Chuxiongyizu,Yunnan,NA,0,0,0.6484663296872024,16.762675455955236,53.769188122324394,27.552621246306185,17.865585276851547,10.417239518309309
Honghehanizuyizu,Yunnan,0,9,0,0.5720700011290196,9.102640823331885,60.725229882783665,33.979778291466786,25.62951031076529,11.90422415346846
Wenshanzhuangzumiaozu,Yunnan,0,2,0,0.5510571793793105,10.857335469093037,56.094524619574045,33.50817870338505,22.97529333463205,4.939258548517341
Simaodiqu,Yunnan,0,4,0,NA,NA,NA,NA,NA,NA
Xishuangbannadaizu,Yunnan,0.06666666666666667,15,1,0.7213131720317069,17.979622824995015,41.218674413930174,47.7651923296231,29.60650594027812,6.599477669481685
Dalibaizu,Yunnan,NA,0,0,0.5920212290001983,11.419292208723572,65.27646728115283,22.244800395874552,15.822491371399453,5.81168461259502
Baoshandiqu,Yunnan,0,9,0,0.5566580774247486,11.013991362108717,59.819269071941044,24.740255348985446,18.915562438929708,5.541553149991895
Dehongdaizujingpozu,Yunnan,0,5,0,NA,NA,NA,NA,NA,NA
Lijiangdiqu,Yunnan,0,7,0,0.613103000795018,9.371153003130196,68.77215653846693,22.469285888699776,12.963287479968313,8.841200746274158
Nujianglisuzu,Yunnan,NA,0,0,0.8520060771669531,17.23530809649779,36.684163156350756,46.674253101385005,22.26137582691984,7.569578729413726
Diqingcangzu,Yunnan,NA,0,0,0.6531903942171219,7.615005517421205,67.03825809849779,14.95893127971206,13.365164659388414,7.121020005689871
Lincangdiqu,Yunnan,0,1,0,0.7238911805265463,14.129322079469846,47.53696894566962,34.200445906519,25.78417494708963,8.5223666976947
Lasa,Xizang,0,1,0,0.5487837160203416,18.57832927122047,72.37405377860055,28.075290788341697,11.477223463750367,6.814269509106985
Changdudiqu,Xizang,NA,0,0,0.6782274334417573,10.842227806571307,59.91165608265241,NA,10.9955539329506,11.076293210146138
Shannandiqu,Xizang,NA,0,0,0.4943227543199062,NA,74.7757867795076,23.104243869032665,8.815719066265881,7.361634897057799
Rikazediqu,Xizang,NA,0,0,0.5608313811220383,9.973610161345205,79.89064018698902,21.99848935362325,9.184445914613764,4.887859980770602
Naqudiqu,Xizang,NA,0,0,0.7923637890474846,11.079984375602667,61.64074154721902,31.887663808708943,17.380591463769804,5.695178822522021
Alidiqu,Xizang,NA,0,0,0.5290701357411187,11.17368886665741,90.11970762303919,13.84883302923902,5.785399335696097,10.811144261565596
Linzhidiqu,Xizang,NA,0,0,0.43782094802308064,6.150086208228041,65.02094504860517,15.014201684262417,7.445273978558652,8.270502045685193
Xian,Shaanxi,0.025,120,3,0.7807870294754479,41.087119497171,50.267899625897456,89.85110058969119,50.17592615166964,8.334729644374951
Tongchuan,Shaanxi,0,8,0,0.7642814364596757,31.067904463812297,63.2622253322394,73.7934427845097,42.914159393633284,11.992328060215126
Baoji,Shaanxi,0,13,0,0.6314624154443583,29.28806904725927,52.71215807111076,75.48534353411898,46.19704105778227,7.816274792563509
Xianyang,Shaanxi,0,17,0,0.8025549243504561,39.490271164103916,52.57096667127843,93.11149271492326,52.981617441887074,8.780826167854332
Weinan,Shaanxi,0,15,0,0.7905461140202382,37.99046520458364,54.26022522405156,92.64088562529795,51.78664599336921,11.147650742647782
Yanan,Shaanxi,0,8,0,0.7797035192144034,35.89829857726456,49.448684922976916,62.86284168891407,32.499630159159125,5.8836936035391245
Hanzhong,Shaanxi,0,26,0,0.8688471289939189,23.65351873468487,46.60348989023605,61.97547903438869,38.179645189104676,13.295848924722316
Yulin,Shaanxi,0,3,0,0.748605191973534,36.81996254842332,64.93069795249878,67.03266655325402,33.492783199880016,11.89529534925319
Ankang,Shaanxi,0,26,0,0.6116082440987691,18.788164359116763,44.703630971769385,52.637522550805514,30.75615324479951,8.848317817031907
Shangluodiqu,Shaanxi,0,7,0,0.5818535096240989,22.641358892084536,60.15206712977781,53.94821470632899,29.827132863688778,9.926407299089345
Lanzhou,Gansu,0.05405405405405406,37,2,0.9487757828718938,46.79491190502664,59.19624310729583,81.67690819341202,34.990077039967744,14.909673302805686
Jiayuguan,Gansu,NA,0,0,0.5095141161710116,20.340987412461317,77.271481860363,88.54062306024953,30.425851105445073,13.36990581639822
Jinchang,Gansu,0,1,0,0.6347209928060524,13.5016810201804,78.30808087197234,67.42149503377667,22.237349848165902,13.980944617203656
Baiyin,Gansu,0,4,0,0.7782783518891639,24.78714624643042,63.36854961037427,74.54970655797725,28.730397831028267,31.799308963072118
Tianshui,Gansu,0,12,0,0.535018961803717,29.132467783791505,53.429421502121876,53.49579534561612,26.76936116185932,9.917392844005535
Jiuquandiqu,Gansu,NA,0,0,0.5098185989990607,21.342990674713853,75.66950866998873,97.94833179822878,30.386759088297122,8.092596153422463
Zhangyediqu,Gansu,0,2,0,0.45692958309055914,23.94573243054391,70.08250247573413,78.0039790278484,37.60146640850963,11.668083137532795
Wuweidiqu,Gansu,NA,0,0,0.5556085552928167,24.16803245639319,67.09983138114802,82.7905782087894,38.26322297004942,8.157733532722492
Dingxidiqu,Gansu,0,9,0,0.5397182620029825,23.736964743750008,59.76249367904866,55.921920766463536,25.218897993535915,8.187934149236822
